customer_id,signup_date,country,city,segment,lifetime_value_cents,is_active
0000001,2024-10-31,GB,Manchester,smb,5870,1
0000002,2023-07-10,US,Boston,consumer,28797,1
0000003,2023-12-30,GB,Bristol,consumer,16534,1
0000004,2023-02-19,FR,Besançon,consumer,14805,1
0000005,2024-01-17,US,Austin,smb,25973,1
0000006,2024-04-17,FR,Angers,smb,32279,1
0000007,2024-02-21,PL,Łódź,consumer,19705,1
0000008,2024-07-26,DE,München,consumer,27696,1
0000009,2024-09-08,DE,Köln,consumer,8397,1
0000010,2023-07-21,BR,Belém,consumer,13275,1
0000011,2023-07-20,FR,Besançon,consumer,22073,1
0000012,2024-08-18,PL,Gdańsk,consumer,20324,1
0000013,2023-03-28,US,Portland,consumer,10756,1
0000014,2023-07-30,GB,Bristol,consumer,7392,1
0000015,2023-06-25,PL,Kraków,consumer,13714,1
0000016,2024-08-22,US,Austin,consumer,7314,1
0000017,2023-03-15,US,Boston,smb,22237,1
0000018,2024-03-01,ES,Córdoba,consumer,17862,1
0000019,2023-04-14,PL,Kraków,consumer,27574,1
0000020,2024-06-14,US,Portland,enterprise,24351,1
0000021,2023-06-24,FR,Angers,smb,23595,1
0000022,2023-07-01,US,Portland,smb,11583,1
0000023,2024-01-14,US,Portland,consumer,12024,1
0000024,2023-11-30,US,Portland,consumer,7021,1
0000025,2023-05-14,US,Boston,consumer,11435,1
0000026,2023-12-03,GB,Bristol,consumer,22894,1
0000027,2023-06-25,US,Portland,smb,11302,1
0000028,2024-06-03,US,Portland,consumer,27340,1
0000029,2023-02-07,PL,Gdańsk,consumer,5309,1
0000030,2023-05-15,PL,Kraków,consumer,21549,1
0000031,2024-03-03,PL,Kraków,consumer,10563,1
0000032,2023-09-26,SE,Örebro,enterprise,23506,1
0000033,2024-03-15,DE,Düsseldorf,enterprise,8548,1
0000034,2023-06-12,FR,Nîmes,smb,10987,1
0000035,2023-09-02,ES,Gijón,consumer,10180,1
0000036,2024-02-13,US,Austin,enterprise,21307,1
0000037,2024-01-21,SE,Göteborg,consumer,13884,1
0000038,2024-02-24,US,Austin,smb,14092,1
0000039,2023-03-02,DE,Köln,consumer,4282,1
0000040,2024-11-01,GB,Leeds,enterprise,20140,1
0000041,2024-02-16,US,Portland,smb,35725,1
0000042,2024-06-29,CH,Zürich,smb,25304,1
0000043,2023-08-05,BR,São Paulo,consumer,6447,1
0000044,2024-06-25,GB,Leeds,consumer,27035,1
0000045,2023-08-15,GB,Leeds,smb,17935,1
0000046,2024-06-01,CH,Basel,enterprise,3690,1
0000047,2024-01-23,SE,Malmö,consumer,17869,1
0000048,2023-08-17,US,Boston,enterprise,42369,1
0000049,2023-10-19,SE,Malmö,consumer,17180,1
0000050,2024-11-03,FR,Besançon,consumer,36982,1
0000051,2023-09-27,PL,Gdańsk,smb,39234,1
0000052,2024-09-22,GB,Manchester,consumer,8726,1
0000053,2023-02-09,BR,Curitiba,consumer,4016,1
0000054,2023-11-22,SE,Göteborg,consumer,12563,1
0000055,2024-03-15,US,Boston,consumer,18945,1
0000056,2024-01-30,BR,Curitiba,consumer,52216,1
0000057,2024-02-28,US,Austin,consumer,6189,1
0000058,2023-03-17,US,Portland,consumer,18330,1
0000059,2023-12-17,SE,Malmö,consumer,8952,1
0000060,2024-01-03,US,Austin,consumer,31107,1
0000061,2023-12-19,US,Portland,consumer,5897,1
0000062,2024-09-25,GB,Manchester,smb,10029,1
0000063,2024-07-15,DE,München,consumer,46344,1
0000064,2023-09-28,PL,Łódź,consumer,29560,1
0000065,2023-02-19,US,Portland,consumer,6348,1
0000066,2024-07-24,BR,São Paulo,smb,55811,1
0000067,2024-02-14,US,Portland,consumer,6764,1
0000068,2023-06-16,FR,Nîmes,smb,19932,1
0000069,2023-04-09,DE,Köln,consumer,8605,1
0000070,2024-07-06,DE,Köln,consumer,10310,1
0000071,2023-02-23,SE,Malmö,consumer,17095,1
0000072,2023-02-07,US,Boston,consumer,16936,1
0000073,2024-10-12,GB,Bristol,consumer,35866,1
0000074,2024-01-04,US,Boston,smb,10714,1
0000075,2023-04-22,CH,Basel,smb,40854,1
0000076,2024-10-27,BR,Belém,smb,4796,1
0000077,2024-12-10,DE,Köln,consumer,45262,1
0000078,2024-10-08,US,Austin,enterprise,10973,1
0000079,2023-08-17,US,Austin,enterprise,37971,1
0000080,2023-04-30,US,Boston,smb,23785,1
0000081,2024-01-18,DE,Köln,consumer,13179,1
0000082,2024-01-17,US,Portland,consumer,38016,1
0000083,2024-12-20,US,Boston,consumer,1563,1
0000084,2023-09-15,SE,Malmö,consumer,7180,1
0000085,2024-03-16,GB,Manchester,smb,11443,1
0000086,2024-08-15,PL,Kraków,consumer,4264,1
0000087,2024-03-04,PL,Gdańsk,enterprise,21422,1
0000088,2024-10-07,US,Portland,consumer,11505,1
0000089,2024-01-12,GB,Manchester,consumer,36522,1
0000090,2023-09-25,GB,Bristol,consumer,8279,1
0000091,2023-11-11,ES,Málaga,enterprise,17146,1
0000092,2023-12-10,US,Portland,consumer,16076,1
0000093,2024-12-28,BR,Curitiba,consumer,49081,1
0000094,2023-02-25,US,Austin,consumer,11902,1
0000095,2023-10-15,FR,Besançon,consumer,18973,1
0000096,2023-07-02,GB,Leeds,smb,8023,1
0000097,2024-02-12,CH,Zürich,smb,13188,1
0000098,2024-07-23,GB,Bristol,consumer,9651,1
0000099,2023-03-25,SE,Göteborg,smb,13931,1
0000100,2024-03-09,SE,Göteborg,consumer,3595,1
0000101,2024-06-27,US,Portland,consumer,5524,1
0000102,2024-07-20,DE,Köln,consumer,80402,1
0000103,2024-02-04,US,Boston,smb,19328,1
0000104,2023-11-12,US,Austin,consumer,6207,1
0000105,2023-04-02,BR,Belém,consumer,20639,1
0000106,2023-03-29,PL,Łódź,smb,13498,1
0000107,2023-12-20,CH,Basel,consumer,12112,1
0000108,2024-12-18,PL,Łódź,consumer,9428,1
0000109,2024-01-06,CH,Zürich,smb,16879,1
0000110,2023-09-13,US,Portland,consumer,15626,1
