order_id,refunded_within_30d
ORD-00001087,0
ORD-00008706,0
ORD-00002362,0
ORD-00010321,0
ORD-00000440,0
ORD-00003313,0
ORD-00006548,0
ORD-00003054,0
ORD-00010144,0
ORD-00008239,0
ORD-00008464,0
ORD-00003827,0
ORD-00000856,1
ORD-00009006,0
ORD-00004801,0
ORD-00002650,0
ORD-00000942,1
ORD-00000064,0
ORD-00001142,0
ORD-00005900,0
ORD-00000304,1
ORD-00007333,0
ORD-00002096,0
ORD-00007301,0
ORD-00006214,1
ORD-00008186,0
ORD-00000230,1
ORD-00005092,0
ORD-00008028,0
ORD-00003217,0
ORD-00000328,0
ORD-00008698,0
ORD-00001620,0
ORD-00003455,0
ORD-00008965,0
ORD-00011906,0
ORD-00004297,0
ORD-00000527,1
ORD-00008467,0
ORD-00009952,0
ORD-00009689,0
ORD-00005715,0
ORD-00008251,0
ORD-00011687,0
ORD-00001342,0
ORD-00007770,0
ORD-00006523,0
ORD-00005345,0
ORD-00001784,0
ORD-00005479,1
ORD-00004643,0
ORD-00011839,0
ORD-00000461,0
ORD-00006695,0
ORD-00000739,0
ORD-00007685,0
ORD-00006709,0
ORD-00009360,0
ORD-00003112,0
ORD-00001476,0
ORD-00006287,0
ORD-00010612,0
ORD-00004780,0
ORD-00003245,0
ORD-00004659,0
ORD-00008810,0
ORD-00003689,0
ORD-00004638,0
ORD-00000580,0
ORD-00006664,0
ORD-00004837,0
ORD-00006545,0
ORD-00006489,0
ORD-00003825,0
ORD-00001329,0
ORD-00000953,0
ORD-00009565,0
ORD-00010175,0
ORD-00006623,0
ORD-00002376,0
ORD-00005678,0
ORD-00003621,0
ORD-00002139,0
ORD-00001167,0
ORD-00000072,1
ORD-00003991,0
ORD-00006415,0
ORD-00004191,0
ORD-00002110,1
ORD-00007746,1
ORD-00007240,0
ORD-00007292,0
ORD-00006696,1
ORD-00004740,0
ORD-00009598,0
ORD-00002178,0
ORD-00003183,1
ORD-00009929,0
ORD-00008727,0
ORD-00007716,0
ORD-00011255,0
ORD-00010008,0
ORD-00000059,1
ORD-00006620,0
ORD-00003365,0
ORD-00011004,0
ORD-00008314,0
ORD-00011506,0
ORD-00009630,0
ORD-00007695,0
ORD-00010982,1
ORD-00005235,0
ORD-00004779,0
ORD-00003155,0
ORD-00002552,0
ORD-00003840,0
ORD-00003526,0
ORD-00008372,0
ORD-00011650,0
ORD-00001300,0
ORD-00004035,0
ORD-00005116,0
ORD-00002549,0
ORD-00002108,0
ORD-00007516,0
ORD-00005537,0
ORD-00003459,0
ORD-00000572,0
ORD-00004553,0
ORD-00003651,0
ORD-00010924,0
ORD-00002615,0
